_initial_assets,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,performance_reward,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,progress_before_trial,progress_after_trial,async_post_trial_required,async_post_trial_requested,async_post_trial_complete,async_post_trial_failed,class,object_type,adaptivetest_participant_current_ability_estimate_before_trial,adaptivetest_participant_current_standard_error_estimate_before_trial,item,correct,merged_file,duration_target,duration_silence,duration_probe,clicked_object,click_coordinates
,"{""adaptivetest_participant_current_ability_estimate_before_trial"": NaN, ""adaptivetest_participant_current_standard_error_estimate_before_trial"": NaN}",11,2025-11-24 16:25:56,False,,,CustomTaskTrial,23,23,True,23,1,,,"{""item"": {""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""103"", ""a"": 43.07178122732465, ""b"": 0.0119335203113762, ""c"": 0.121192453225549, ""d"": 1.0}, ""correct"": ""diff"", ""id"": {""py/object"": ""numpy.int64"", ""dtype"": ""int64"", ""value"": 103}, ""merged_file"": ""static/stimuli_merged/Task_0103_merged.wav"", ""duration_target"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 4.04}, ""duration_silence"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 5.0}, ""duration_probe"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 4.081}}",True,False,1.0,0.0,,"{""clicked_object"": ""diff"", ""click_coordinates"": [48.311444652908065, 33.771106941838646]}",False,32,,,15.082,183.99999999999991,198.99999999999991,15.0,0.2506811989100817,0.27111716621253407,False,False,False,False,CustomTaskTrial,Info,,,"{""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""103"", ""a"": 43.07178122732465, ""b"": 0.0119335203113762, ""c"": 0.121192453225549, ""d"": 1.0}",diff,static/stimuli_merged/Task_0103_merged.wav,4.04,5.0,4.081,diff,"[48.311444652908065, 33.771106941838646]"
,"{""adaptivetest_participant_current_ability_estimate_before_trial"": 0.14158657478783332, ""adaptivetest_participant_current_standard_error_estimate_before_trial"": 0.375982095207493}",12,2025-11-24 16:26:12,False,,,CustomTaskTrial,23,23,True,23,1,,,"{""item"": {""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""14"", ""a"": 63.1913450651681, ""b"": 0.096910261538958, ""c"": 4.085796285339703e-06, ""d"": 1.0}, ""correct"": ""diff"", ""id"": {""py/object"": ""numpy.int64"", ""dtype"": ""int64"", ""value"": 14}, ""merged_file"": ""static/stimuli_merged/Task_0014_merged.wav"", ""duration_target"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 3.106}, ""duration_silence"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 5.0}, ""duration_probe"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 3.117}}",True,False,1.0,0.0,,"{""clicked_object"": ""diff"", ""click_coordinates"": [48.311444652908065, 33.771106941838646]}",False,35,,,12.365,198.99999999999991,213.99999999999991,15.0,0.27111716621253407,0.2915531335149864,False,False,False,False,CustomTaskTrial,Info,0.14158657478783332,0.375982095207493,"{""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""14"", ""a"": 63.1913450651681, ""b"": 0.096910261538958, ""c"": 4.085796285339703e-06, ""d"": 1.0}",diff,static/stimuli_merged/Task_0014_merged.wav,3.106,5.0,3.117,diff,"[48.311444652908065, 33.771106941838646]"
,"{""adaptivetest_participant_current_ability_estimate_before_trial"": 0.19026163991242595, ""adaptivetest_participant_current_standard_error_estimate_before_trial"": 0.2812638678480337}",13,2025-11-24 16:26:25,False,,,CustomTaskTrial,23,23,True,23,1,,,"{""item"": {""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""104"", ""a"": 40.90665104771173, ""b"": 0.2209276572277287, ""c"": 0.2961761179546285, ""d"": 1.0}, ""correct"": ""diff"", ""id"": {""py/object"": ""numpy.int64"", ""dtype"": ""int64"", ""value"": 104}, ""merged_file"": ""static/stimuli_merged/Task_0104_merged.wav"", ""duration_target"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 4.58}, ""duration_silence"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 5.0}, ""duration_probe"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 4.598}}",True,False,0.0,0.0,,"{""clicked_object"": ""same"", ""click_coordinates"": [51.688555347091935, 26.26641651031895]}",False,38,,,15.861,213.99999999999991,228.99999999999991,15.0,0.2915531335149864,0.31198910081743875,False,False,False,False,CustomTaskTrial,Info,0.19026163991242595,0.2812638678480337,"{""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""104"", ""a"": 40.90665104771173, ""b"": 0.2209276572277287, ""c"": 0.2961761179546285, ""d"": 1.0}",diff,static/stimuli_merged/Task_0104_merged.wav,4.58,5.0,4.598,same,"[51.688555347091935, 26.26641651031895]"
,"{""adaptivetest_participant_current_ability_estimate_before_trial"": 0.14977022336982795, ""adaptivetest_participant_current_standard_error_estimate_before_trial"": 0.08270980782493441}",14,2025-11-24 16:26:41,False,,,CustomTaskTrial,23,23,True,23,1,,,"{""item"": {""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""55"", ""a"": -31.59663921840403, ""b"": 0.0993786327540232, ""c"": 3.273396320598813e-05, ""d"": 1.0}, ""correct"": ""same"", ""id"": {""py/object"": ""numpy.int64"", ""dtype"": ""int64"", ""value"": 55}, ""merged_file"": ""static/stimuli_merged/Task_0055_merged.wav"", ""duration_target"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 2.902}, ""duration_silence"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 5.0}, ""duration_probe"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 2.902}}",True,False,1.0,0.0,,"{""clicked_object"": ""same"", ""click_coordinates"": [49.43714821763602, 24.577861163227016]}",False,41,,,11.942,228.99999999999991,243.99999999999991,15.0,0.31198910081743875,0.3324250681198911,False,False,False,False,CustomTaskTrial,Info,0.14977022336982795,0.08270980782493441,"{""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""55"", ""a"": -31.59663921840403, ""b"": 0.0993786327540232, ""c"": 3.273396320598813e-05, ""d"": 1.0}",same,static/stimuli_merged/Task_0055_merged.wav,2.902,5.0,2.902,same,"[49.43714821763602, 24.577861163227016]"
,"{""adaptivetest_participant_current_ability_estimate_before_trial"": 0.11071628037303237, ""adaptivetest_participant_current_standard_error_estimate_before_trial"": 0.030210136995259658}",15,2025-11-24 16:26:54,False,,,CustomTaskTrial,23,23,True,23,1,,,"{""item"": {""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""94"", ""a"": 69.30431729752526, ""b"": 0.1034920405476884, ""c"": 0.3335627485363931, ""d"": 1.0}, ""correct"": ""diff"", ""id"": {""py/object"": ""numpy.int64"", ""dtype"": ""int64"", ""value"": 94}, ""merged_file"": ""static/stimuli_merged/Task_0094_merged.wav"", ""duration_target"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 3.93}, ""duration_silence"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 5.0}, ""duration_probe"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 3.913}}",True,False,1.0,0.0,,"{""clicked_object"": ""diff"", ""click_coordinates"": [52.814258911819884, 39.9624765478424]}",False,44,,,14.578,243.99999999999991,258.9999999999999,14.999999999999972,0.3324250681198911,0.3528610354223434,False,False,False,False,CustomTaskTrial,Info,0.11071628037303237,0.030210136995259658,"{""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""94"", ""a"": 69.30431729752526, ""b"": 0.1034920405476884, ""c"": 0.3335627485363931, ""d"": 1.0}",diff,static/stimuli_merged/Task_0094_merged.wav,3.93,5.0,3.913,diff,"[52.814258911819884, 39.9624765478424]"
,"{""adaptivetest_participant_current_ability_estimate_before_trial"": 0.12062003374972503, ""adaptivetest_participant_current_standard_error_estimate_before_trial"": 0.027147305671965244}",16,2025-11-24 16:27:09,False,,,CustomTaskTrial,23,23,True,23,1,,,"{""item"": {""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""105"", ""a"": 61.22991880143776, ""b"": 0.0924624413680333, ""c"": 0.4074851352853475, ""d"": 1.0}, ""correct"": ""diff"", ""id"": {""py/object"": ""numpy.int64"", ""dtype"": ""int64"", ""value"": 105}, ""merged_file"": ""static/stimuli_merged/Task_0105_merged.wav"", ""duration_target"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 4.824}, ""duration_silence"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 5.0}, ""duration_probe"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 4.952}}",True,False,1.0,0.0,,"{""clicked_object"": ""diff"", ""click_coordinates"": [46.99812382739212, 39.39962476547842]}",False,47,,,16.023,258.9999999999999,273.9999999999999,15.0,0.3528610354223434,0.37329700272479577,False,False,False,False,CustomTaskTrial,Info,0.12062003374972503,0.027147305671965244,"{""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""105"", ""a"": 61.22991880143776, ""b"": 0.0924624413680333, ""c"": 0.4074851352853475, ""d"": 1.0}",diff,static/stimuli_merged/Task_0105_merged.wav,4.824,5.0,4.952,diff,"[46.99812382739212, 39.39962476547842]"
,"{""adaptivetest_participant_current_ability_estimate_before_trial"": 0.12405587549352806, ""adaptivetest_participant_current_standard_error_estimate_before_trial"": 0.0263450826971554}",17,2025-11-24 16:27:26,False,,,CustomTaskTrial,23,23,True,23,1,,,"{""item"": {""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""124"", ""a"": 4.370647584635639, ""b"": -0.1421602235491621, ""c"": 0.1369727425475631, ""d"": 1.0}, ""correct"": ""diff"", ""id"": {""py/object"": ""numpy.int64"", ""dtype"": ""int64"", ""value"": 124}, ""merged_file"": ""static/stimuli_merged/Task_0124_merged.wav"", ""duration_target"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 5.19}, ""duration_silence"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 5.0}, ""duration_probe"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 5.172}}",True,False,1.0,0.0,,"{""clicked_object"": ""diff"", ""click_coordinates"": [50.187617260787995, 38.46153846153846]}",False,50,,,16.369,273.9999999999999,288.9999999999999,15.0,0.37329700272479577,0.3937329700272481,False,False,False,False,CustomTaskTrial,Info,0.12405587549352806,0.0263450826971554,"{""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""124"", ""a"": 4.370647584635639, ""b"": -0.1421602235491621, ""c"": 0.1369727425475631, ""d"": 1.0}",diff,static/stimuli_merged/Task_0124_merged.wav,5.19,5.0,5.172,diff,"[50.187617260787995, 38.46153846153846]"
,"{""adaptivetest_participant_current_ability_estimate_before_trial"": 0.12466918092217093, ""adaptivetest_participant_current_standard_error_estimate_before_trial"": 0.02661782491418291}",18,2025-11-24 16:27:43,False,,,CustomTaskTrial,23,23,True,23,1,,,"{""item"": {""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""83"", ""a"": 3.456101327948925, ""b"": 0.1191597531647424, ""c"": 0.23159336488519, ""d"": 1.0}, ""correct"": ""diff"", ""id"": {""py/object"": ""numpy.int64"", ""dtype"": ""int64"", ""value"": 83}, ""merged_file"": ""static/stimuli_merged/Task_0083_merged.wav"", ""duration_target"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 3.541}, ""duration_silence"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 5.0}, ""duration_probe"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 3.518}}",True,False,1.0,0.0,,"{""clicked_object"": ""diff"", ""click_coordinates"": [50.187617260787995, 38.46153846153846]}",False,53,,,12.857,288.9999999999999,303.9999999999999,15.0,0.3937329700272481,0.41416893732970045,False,False,False,False,CustomTaskTrial,Info,0.12466918092217093,0.02661782491418291,"{""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""83"", ""a"": 3.456101327948925, ""b"": 0.1191597531647424, ""c"": 0.23159336488519, ""d"": 1.0}",diff,static/stimuli_merged/Task_0083_merged.wav,3.541,5.0,3.518,diff,"[50.187617260787995, 38.46153846153846]"
,"{""adaptivetest_participant_current_ability_estimate_before_trial"": 0.1254528567983215, ""adaptivetest_participant_current_standard_error_estimate_before_trial"": 0.026993785024065624}",19,2025-11-24 16:27:56,False,,,CustomTaskTrial,23,23,True,23,1,,,"{""item"": {""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""101"", ""a"": 2.350039619431694, ""b"": -0.077639919153763, ""c"": 7.315294583417337e-06, ""d"": 1.0}, ""correct"": ""diff"", ""id"": {""py/object"": ""numpy.int64"", ""dtype"": ""int64"", ""value"": 101}, ""merged_file"": ""static/stimuli_merged/Task_0101_merged.wav"", ""duration_target"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 4.098}, ""duration_silence"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 5.0}, ""duration_probe"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 4.087}}",True,False,1.0,0.0,,"{""clicked_object"": ""diff"", ""click_coordinates"": [50.187617260787995, 38.46153846153846]}",False,56,,,13.919,303.9999999999999,318.9999999999999,15.0,0.41416893732970045,0.4346049046321528,False,False,False,False,CustomTaskTrial,Info,0.1254528567983215,0.026993785024065624,"{""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""101"", ""a"": 2.350039619431694, ""b"": -0.077639919153763, ""c"": 7.315294583417337e-06, ""d"": 1.0}",diff,static/stimuli_merged/Task_0101_merged.wav,4.098,5.0,4.087,diff,"[50.187617260787995, 38.46153846153846]"
,"{""adaptivetest_participant_current_ability_estimate_before_trial"": 0.12612394559142717, ""adaptivetest_participant_current_standard_error_estimate_before_trial"": 0.027328554834419493}",20,2025-11-24 16:28:11,False,,,CustomTaskTrial,23,23,True,23,1,,,"{""item"": {""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""121"", ""a"": 2.622967783401737, ""b"": -0.0234129159064647, ""c"": 0.1611190920427145, ""d"": 1.0}, ""correct"": ""diff"", ""id"": {""py/object"": ""numpy.int64"", ""dtype"": ""int64"", ""value"": 121}, ""merged_file"": ""static/stimuli_merged/Task_0121_merged.wav"", ""duration_target"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 5.393}, ""duration_silence"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 5.0}, ""duration_probe"": {""py/object"": ""numpy.float64"", ""dtype"": ""float64"", ""value"": 5.375}}",True,False,1.0,0.0,,"{""clicked_object"": ""diff"", ""click_coordinates"": [50.187617260787995, 38.46153846153846]}",False,59,,,17.01,318.9999999999999,333.9999999999999,15.0,0.4346049046321528,0.45504087193460513,False,False,False,False,CustomTaskTrial,Info,0.12612394559142717,0.027328554834419493,"{""py/object"": ""adaptivetesting.models.__test_item.TestItem"", ""id"": ""121"", ""a"": 2.622967783401737, ""b"": -0.0234129159064647, ""c"": 0.1611190920427145, ""d"": 1.0}",diff,static/stimuli_merged/Task_0121_merged.wav,5.393,5.0,5.375,diff,"[50.187617260787995, 38.46153846153846]"
